experiment,workers,cores_per_executor,data_gb,etl_runtime_seconds,analysis_runtime_seconds,total_runtime_seconds
H-1,1,2,5,8,120,128
H-2,2,2,5,7,84,91
H-3,3,2,5,7,69,76
W-1,1,2,5,8,127,135
W-2,2,2,10,7,84,91
V-1,3,1,5,7,73,80
V-2,3,2,5,8,64,72
V-3,3,1,10,8,94,102
V-4,3,2,10,8,67,75
